"userID","difficulty","max_level","boredom","frustration"
"11062025223807","Lineal","4","2","3"
"16052025133223","Lineal","7","2","4"
"16052025141140","Lineal","6","4","2"
"16052025144307","Exponencial","6","2","1"
"16052025170309","Lineal","3","1","3"
"16052025173621","Exponencial","5","1","1"
"16052025230356","Exponencial","6","2","4"
"17052025085759","Lineal","5","3","1"
"17052025105407","Lineal","5","2","3"
"17052025121347","Lineal","7","1","1"
"17052025142311","Exponencial","5","3","4"
"17052025214049","Exponencial","6","3","3"
"18052025003020","Exponencial","6","3","1"
"18052025101033","Exponencial","5","2","2"
"18052025112128","Lineal","7","4","4"
"18052025122259","Lineal","4","1","1"
"18052025214713","Exponencial","5","2","1"
"18052025233120","Exponencial","4","2","5"
"19052025151840","Exponencial","6","4","4"
"19052025153047","Exponencial","5","3","1"
"19052025154449","Lineal","7","1","1"
"19052025162224","Lineal","5","2","3"
"19052025165032","Exponencial","6","3","1"
"19052025173137","Lineal","6","2","3"
"19052025190644","Lineal","7","4","4"
"19052025193741","Exponencial","6","4","3"
"19052025205047","Exponencial","5","2","2"
"19052025213210","Lineal","6","4","1"
"19052025222018","Lineal","7","1","2"
"20052025174026","Exponencial","6","2","3"
"20052025211747","Lineal","5","2","3"
"22052025194203","Lineal","7","2","4"
"22052025200217","Lineal","6","3","3"
"22052025205143","Exponencial","5","5","3"
"22052025212928","Lineal","4","2","3"
"22052025232631","Exponencial","6","2","4"
"23052025083555","Lineal","6","3","3"
"23052025113559","Exponencial","6","3","4"
"23052025120242","Exponencial","6","4","2"
"23052025122629","Exponencial","7","2","2"
"23052025132110","Exponencial","5","3","4"
"23052025141930","Exponencial","7","1","2"
"23052025161759","Lineal","5","2","3"
"23052025175157","Lineal","6","3","1"
"23052025191751","Lineal","7","3","3"
"23052025214604","Exponencial","6","2","4"
"23052025220159","Exponencial","5","2","5"
"23052025233132","Exponencial","4","1","2"
"24052025122041","Exponencial","5","3","3"
"24052025175320","Lineal","6","3","3"
"25052025120744","Lineal","7","2","1"
"25052025132617","Lineal","5","4","3"
"25052025213433","Exponencial","6","2","3"
"26052025202402","Exponencial","5","3","2"
"27052025142840","Exponencial","5","2","3"
"30052025181056","Exponencial","6","2","2"
