"userID","difficulty","max_level","boredom","frustration"
"11062025223807","Exponencial","3","1","3"
"16052025125225","Exponencial","3","3","4"
"16052025131222","Exponencial","1","3","1"
"16052025144307","Lineal","5","1","1"
"16052025170309","Exponencial","1","1","4"
"16052025173621","Lineal","1","5","5"
"16052025230356","Lineal","6","2","4"
"17052025085759","Exponencial","5","1","3"
"17052025105407","Exponencial","6","2","3"
"17052025121347","Exponencial","6","1","1"
"17052025214049","Lineal","3","2","2"
"18052025003020","Lineal","6","1","1"
"18052025101033","Lineal","4","2","2"
"18052025112128","Exponencial","6","3","5"
"18052025122259","Exponencial","1","1","4"
"18052025214713","Lineal","3","1","1"
"18052025233120","Lineal","7","1","2"
"19052025153047","Lineal","3","1","1"
"19052025154449","Exponencial","6","4","4"
"19052025165032","Lineal","3","3","3"
"19052025171431","Lineal","5","3","2"
"19052025173137","Exponencial","5","3","4"
"19052025193741","Lineal","6","3","2"
"19052025205047","Lineal","3","4","4"
"19052025213210","Exponencial","6","4","2"
"19052025221021","Lineal","6","5","2"
"19052025222018","Exponencial","6","2","1"
"20052025174026","Lineal","5","3","1"
"20052025211747","Exponencial","5","2","1"
"22052025192015","Exponencial","6","2","2"
"22052025194203","Exponencial","6","2","2"
"22052025200217","Exponencial","6","2","4"
"22052025212928","Exponencial","3","3","4"
"22052025232631","Lineal","5","1","4"
"23052025083555","Exponencial","3","2","4"
"23052025113559","Lineal","5","3","4"
"23052025121725","Exponencial","5","2","1"
"23052025141930","Lineal","6","2","2"
"23052025161759","Exponencial","6","4","3"
"23052025191751","Exponencial","5","4","4"
"23052025220159","Lineal","5","2","5"
"23052025233132","Lineal","2","3","4"
"24052025122041","Lineal","6","1","2"
"24052025175320","Exponencial","3","3","3"
"25052025120744","Exponencial","6","3","4"
"25052025132617","Exponencial","1","2","5"
"25052025213433","Lineal","5","4","4"
"27052025142840","Lineal","3","2","4"
"30052025181056","Lineal","3","3","3"
